"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"8","","16","","5","10","","0"
"1","Booking System","0","Parametrized Availability Tests","0","0","Availability - Fechas pasadas","0"
"1","Booking System","0","Date Validation","0","0","Checkout Before Checkin Validation","0"
"0","Contact Form","0","Form Elements","1","0","Contact Form Elements Verification","0"
"1","Contact Form","0","Form Submission","1","0","Successful Contact Form Submission","0"
"0","Contact Form","0","Form Validation","1","0","Complete Form Verification","0"
"1","Booking System","0","Performance","0","0","Availability Check Response Time","0"
"0","Contact Form","0","Form Interactions","1","0","Basic Form Interactions","0"
"1","Booking System","0","Calendar Analysis","0","0","Available vs Unavailable Days Count","0"
"1","Booking System","0","Parametrized Availability Tests","0","0","Availability - Fecha salida anterior a entrada","0"
"1","Booking System","0","Parametrized Availability Tests","0","0","Availability - Fechas futuras válidas","0"
"1","Booking System","0","Parametrized Availability Tests","0","0","Availability - Misma fecha entrada y salida","0"
"1","Booking System","0","Availability Check","0","0","Past Dates Validation","0"
"1","Booking System","0","Availability Check","0","0","Valid Future Dates Availability","0"
