"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14133","❌ Validación de campos obligatorios en formulario de contacto","firefox","Fri Jul 11 10:28:03 CEST 2025","failed","Fri Jul 11 10:28:17 CEST 2025","🔗 Contact Form Tests","","",""
"","31978","📱 Responsividad del formulario de contacto","chromium","Fri Jul 11 11:09:15 CEST 2025","broken","Fri Jul 11 11:09:47 CEST 2025","🔗 Contact Form Tests","","",""
"","33747","🧪 Fechas pasadas","chromium","Fri Jul 11 11:08:00 CEST 2025","broken","Fri Jul 11 11:08:34 CEST 2025","📅 Availability Validation Tests","","",""
"","569","has title","chromium","Fri Jul 11 11:09:41 CEST 2025","passed","Fri Jul 11 11:09:41 CEST 2025","","","",""
"","32843","🧪 Email inválido","chromium","Fri Jul 11 11:09:08 CEST 2025","broken","Fri Jul 11 11:09:41 CEST 2025","🔗 Contact Form Tests","","",""
"","21654","🧪 Campos vacíos","webkit","Fri Jul 11 10:28:18 CEST 2025","failed","Fri Jul 11 10:28:40 CEST 2025","🔗 Contact Form Tests","","",""
"","12171","📧 Validación de formato de email inválido","firefox","Fri Jul 11 10:28:04 CEST 2025","failed","Fri Jul 11 10:28:16 CEST 2025","🔗 Contact Form Tests","","",""
"","33647","🔄 Verificar fecha de salida anterior a fecha de entrada","chromium","Fri Jul 11 11:08:00 CEST 2025","broken","Fri Jul 11 11:08:34 CEST 2025","📅 Availability Validation Tests","","",""
"","0","get started link","firefox","Fri Jul 11 10:27:45 CEST 2025","skipped","Fri Jul 11 10:27:45 CEST 2025","","","",""
"","14542","🧪 Teléfono muy corto","webkit","Fri Jul 11 10:28:25 CEST 2025","failed","Fri Jul 11 10:28:40 CEST 2025","🔗 Contact Form Tests","","",""
"","2021","🔍 Verificar elementos del formulario de contacto","chromium","Fri Jul 11 11:08:35 CEST 2025","passed","Fri Jul 11 11:08:37 CEST 2025","🔗 Contact Form Tests - CORREGIDO","","",""
